NOME_MUN,COD_MUN
Itabirito,3131901
Barão de Cocais,3105400
Mariana,3140001
Juatuba,3136652
Matozinhos,3141108
Rio Piracicaba,3155702
Mateus Leme,3140704
Pirapora,3151206
São Joaquim de Bicas,3162922
Itamonte,3133006
Ouro Preto,3146107
São José da Lapa,3162955
Congonhas,3118007
Arcos,3104205
Itaú de Minas,3133758
Pirapetinga,3151107
Nova Era,3144706
Barroso,3105905
Itatiaiuçu,3133709
Carandaí,3113206
Vazante,3171006
Sarzedo,3165537
Pedro Leopoldo,3149309
Santana do Paraíso,3158953
Guaranésia,3128303
Catas Altas,3115359
Córrego Fundo,3119955
Visconde do Rio Branco,3172004
Santa Rita do Sapucaí,3159605
Pains,3146503
