ano,id_municipio,avg_wage_dec,n_employ_dec,pop,nome,treated_group,treated_after_treatment
2021,3109006.0,1997.996567,11065,41208,Brumadinho,1,1
2021,3106705.0,2158.566972,113746,450024,Betim,1,1
2021,3168705.0,1870.389209,17813,91268,Timóteo,0,0
2021,3133758.0,1654.694354,3424,16286,Itaú de Minas,0,0
2021,3131901.0,1776.000036,19316,52996,Itabirito,0,0
2021,3136207.0,1585.673973,20015,80903,João Monlevade,0,0
2021,3145901.0,2501.48837,13573,40220,Ouro Branco,0,0
2021,3118601.0,1760.652008,203301,673849,Contagem,0,0
2021,3151107.0,1786.680465,2361,10791,Pirapetinga,0,0
2021,3131307.0,1767.813415,71793,267333,Ipatinga,0,0
2021,3118007.0,2125.571093,18067,55836,Congonhas,0,0
2021,3171204.0,1818.915833,22030,131849,Vespasiano,0,0
2020,3133758.0,1418.257924,3206,16199,Itaú de Minas,0,0
2020,3109006.0,1746.088921,9933,40666,Brumadinho,1,1
2020,3145901.0,2309.533388,12570,39867,Ouro Branco,0,0
2020,3151107.0,1601.560107,2181,10772,Pirapetinga,0,0
2020,3131307.0,1657.783928,65252,265409,Ipatinga,0,0
2020,3131901.0,1822.220305,18757,52446,Itabirito,0,0
2020,3136207.0,1420.280918,18820,80416,João Monlevade,0,0
2020,3168705.0,1690.994953,16624,90568,Timóteo,0,0
2020,3118601.0,1613.571175,193255,668949,Contagem,0,0
2020,3118007.0,1999.930781,16644,55309,Congonhas,0,0
2020,3171204.0,1808.164663,20194,129765,Vespasiano,0,0
2020,3106705.0,2216.643485,106740,444784,Betim,1,1
2019,3131307.0,1573.88577,71036,263410,Ipatinga,0,0
2019,3118601.0,1602.458508,195175,663855,Contagem,0,0
2019,3136207.0,1368.42025,19404,79910,João Monlevade,0,0
2019,3151107.0,1638.935435,2121,10752,Pirapetinga,0,0
2019,3106705.0,2218.616161,109911,439340,Betim,1,1
2019,3145901.0,2267.202142,12491,39500,Ouro Branco,0,0
2019,3131901.0,1813.316039,15803,51875,Itabirito,0,0
2019,3133758.0,1364.423436,3279,16108,Itaú de Minas,0,0
2019,3118007.0,2086.470202,16863,54762,Congonhas,0,0
2019,3168705.0,1689.122416,16434,89842,Timóteo,0,0
2019,3171204.0,1624.889865,18457,127601,Vespasiano,0,0
2019,3109006.0,1650.823264,10911,40103,Brumadinho,1,1
2018,3109006.0,1762.500882,9444,39520,Brumadinho,1,0
2018,3168705.0,1692.356381,16166,89090,Timóteo,0,0
2018,3118007.0,2002.557409,17089,54196,Congonhas,0,0
2018,3131901.0,1957.374269,14475,51281,Itabirito,0,0
2018,3171204.0,1561.307302,16981,125376,Vespasiano,0,0
2018,3136207.0,1447.550815,18457,79387,João Monlevade,0,0
2018,3131307.0,1563.4795,67739,261344,Ipatinga,0,0
2018,3106705.0,2291.575041,104410,432575,Betim,1,0
2018,3151107.0,1493.976069,2235,10731,Pirapetinga,0,0
2018,3145901.0,2301.605726,11534,39121,Ouro Branco,0,0
2018,3118601.0,1662.086248,187383,659070,Contagem,0,0
2018,3133758.0,1347.516413,2908,16014,Itaú de Minas,0,0
2017,3131307.0,1584.828288,62824,261203,Ipatinga,0,0
2017,3168705.0,1755.590299,16278,88931,Timóteo,0,0
2017,3109006.0,1714.053205,8977,38863,Brumadinho,1,0
2017,3145901.0,2436.272778,11397,38935,Ouro Branco,0,0
2017,3131901.0,1703.52556,13733,50816,Itabirito,0,0
2017,3171204.0,1503.653838,16309,122365,Vespasiano,0,0
2017,3118601.0,1675.40181,185898,658580,Contagem,0,0
2017,3151107.0,1413.352484,2272,10876,Pirapetinga,0,0
2017,3118007.0,1896.856235,16650,53843,Congonhas,0,0
2017,3106705.0,2216.261112,100863,427146,Betim,1,0
2017,3133758.0,1293.82161,2935,16082,Itaú de Minas,0,0
2017,3136207.0,1331.635953,18511,79590,João Monlevade,0,0
2016,3118007.0,1823.49136,15030,53348,Congonhas,0,0
2016,3106705.0,2119.243571,100771,422354,Betim,1,0
2016,3145901.0,1937.777721,11646,38601,Ouro Branco,0,0
2016,3133758.0,1200.116904,3108,15992,Itaú de Minas,0,0
2016,3131901.0,1596.526837,13418,50305,Itabirito,0,0
2016,3168705.0,1529.773246,16937,88255,Timóteo,0,0
2016,3131307.0,1444.140181,63076,259324,Ipatinga,0,0
2016,3109006.0,1657.345087,7939,38373,Brumadinho,1,0
2016,3171204.0,1417.427616,16141,120510,Vespasiano,0,0
2016,3136207.0,1338.92389,17065,79100,João Monlevade,0,0
2016,3118601.0,1532.881464,184997,653800,Contagem,0,0
2016,3151107.0,1353.411043,2062,10848,Pirapetinga,0,0
2015,3106705.0,1938.014101,111093,417307,Betim,1,0
2015,3131901.0,1136.580193,13308,49768,Itabirito,0,0
2015,3131307.0,1262.306889,65714,257345,Ipatinga,0,0
2015,3151107.0,1301.409649,2275,10818,Pirapetinga,0,0
2015,3168705.0,1408.56885,18191,87542,Timóteo,0,0
2015,3145901.0,1836.467444,14671,38249,Ouro Branco,0,0
2015,3118601.0,1384.752621,199824,648766,Contagem,0,0
2015,3136207.0,1090.999709,17364,78583,João Monlevade,0,0
2015,3109006.0,1431.858993,9240,37857,Brumadinho,1,0
2015,3118007.0,1425.0517,15193,52827,Congonhas,0,0
2015,3133758.0,984.3214501,3327,15897,Itaú de Minas,0,0
2015,3171204.0,1374.863841,17088,118557,Vespasiano,0,0
